lat,lng,expected,why,reminder_days,blocker
-28.8131,153.2735,score<40 High/VeryHigh,"Lismore CBD Woodlark St: 2022 record 14.4m flood, CBD in buyback zone. The held nsw_hazard_flood_lismore polygon hits this point, but its matching council/consultant GIS rights are lean-restricted for commercial scoring; NSW layer 230 has no Lismore coverage. Keep the risk truth red without consuming the restricted geometry and remind only on the named licence/open-replacement cadence.",30,"commercial GIS rights not cleared; trigger = licensor permission or an equivalent CC-BY official extent"
-33.6092,150.8222,score<40 High,"Windsor NSW George St, Hawkesbury floodplain, 2021+2022 evacuations. NSW layer230 count=0 (Hawkesbury LEP absent). Model 32 High via Overture proxy only"
-37.7803,144.9008,score<=40 Moderate+ overlay hit,"Aberfeldie VIC: verified inside VicPlan LSIO (layer15 count=1). Model 40 Moderate with LSIO zone - VIC overlay path works"
-27.5466,153.0072,score<40 High,"Rocklea QLD (Brisbane Markets) flooded 2011+2022. QLD has NO overlay endpoints. Model 25 via proxy luck"
-41.4225,147.1347,score<=55 flood-prone(levee),"Invermay Launceston TAS levee floodplain (1929: 4000 homeless). The cleared statewide PlanningOnline Code Overlay layer 14 has no CODE_NO=12 hit here; the held Launceston council 1% AEP polygon does hit, but council AGOL commercial rights remain unconfirmed. Keep red/fail-closed and do not score from that polygon until permission or an open replacement exists.",30,"Launceston council flood geometry rights unconfirmed; trigger = custodian permission or equivalent open 1% AEP source"
-28.5470,150.3060,state=QLD,"Goondiwindi QLD border-river flood town. _detect_state returns NSW (bbox order). Model 54"
-35.1010,147.3680,state=NSW,"North Wagga NSW Murrumbidgee floodplain. _detect_state returns VIC; VIC portal queried instead of NSW. Model 25"
-36.0805,146.9158,state=NSW,"Albury NSW. _detect_state returns VIC"
-35.3530,149.2320,state=NSW,"Queanbeyan NSW. _detect_state returns ACT"
-27.4749,153.0353,score>=70 Low/VeryLow,"Saint Mary's/Main Street Kangaroo Point high-ground control. Corrects old -27.4769 153.0303 point: production 5m LiDAR proves that old coordinate is only 7.6m AHD, not the claimed ~17m, so it was not a valid clifftop truth point. This coordinate is reverse-geocoded inside Kangaroo Point and independently reads 32.4m AHD / 32.7m HAND while the satellite still sees Brisbane River water within 98m; model must discount horizontal-water false risk and currently returns 95."
-27.4370,153.0590,score>=70 Low/VeryLow,"44 Eldernell Terrace Hamilton high-ground control. Corrects old -27.4390 153.0620 point: production 5m LiDAR proves that coordinate is 8.5m AHD, not the claimed ~15m. This coordinate is reverse-geocoded in Hamilton and independently reads 60.0m AHD / 56.3m HAND; model must remain Low/Very Low and currently returns 95."
-31.9610,115.8420,score>=85 VeryLow,"Kings Park escarpment Perth, 61m above Swan estuary. Model 55 Moderate: drainage 0.0 (tidal) disables both HAND discount and >20m boost"
-33.8587,151.2785,score>=70,"Vaucluse NSW elevated harbourside. Model 95 - control passes (drainage 48m non-tidal lets gates work)"
-42.8890,147.3315,score>=70,"Battery Point Hobart. Model 83 - control passes"
-37.8030,145.0250,score>=70,"Kew VIC Yarra escarpment 28m HAND. Model 95 - control passes"
-33.8460,151.2030,score>=70,"Waverton NSW 19m above harbour. Model 70 - capped by permanent-water-within-200m rule + no boost (drainage 0.0)"
-27.4650,152.9990,score<55,"7 Elizabeth St Rosalie: 2011 backflow flooding via piped Western Creek (no surface water in Overture). Current Brisbane River/Creek/Storm Tide 1% AEP FAM polygon does not hit this coordinate, so the open-data model has no defensible score-bearing evidence and returns 81. Keep the historical-event truth red pending an official overland-flow/backflow layer; do not hardcode the address.",30,"official piped-creek/backflow or overland-flow evidence absent; trigger = BCC open layer or cleared hydraulic study"
-27.4710,153.0030,score<55,"Milton QLD flooded 2011. Model 55 Moderate"
-34.9285,138.6007,no confident score (SA source dead),"Adelaide CBD: SA CurrentPDC_wmas service removed upstream (ArcGIS err 500 in HTTP 200). Prod 47 Moderate with 3x Could-not-reach warnings"
-34.8460,138.5000,score<40 coastal flood-prone,"Port Adelaide LeFevre coastal flood area. SA official source dead; model 25 from proxy"
-35.3395,149.2247,overlay hit (ACT works),"Oaks Estate ACT: official ACTGOV 1% AEP layer count=1 - ACT endpoint alive and correct"
-37.7907,144.9120,overlay hit (VIC works),"Flemington Racecourse: VicPlan LSIO count=1 - VIC endpoint alive and correct"
